team,n_matches,possession_pct,pass_completion_pct,directness,verticality,cross_share,ppda_like,direct_press_share,press_duration_s,recovery_time_s,press_inside_share,macro_cluster,cluster,pc1,pc2,max_stage
Algeria,4,56.3,89.75,0.16060564859294993,0.22384342184214584,0.06332684341707981,1.6627586654904507,0.15734105913581717,1.6175,15.055,0.23856053881871442,0,0,2.835722945431611,-2.571009408920323,2
Argentina,6,55.23333333333333,90.33333333333333,0.16840606281026482,0.2517168461009466,0.07479991331953242,1.9317752445505694,0.1789806840944751,1.6216666666666668,15.493333333333332,0.19364679907632873,0,0,1.7505854902482305,-2.000787500070019,5
Australia,4,34.725,80.0,0.2015744263490309,0.25177835966768797,0.17712204969145398,1.9629564183886823,0.13601074939663665,1.5625,18.52,0.19129012190212139,1,1,-1.938140387406112,0.4370675221072824,2
Austria,4,41.0,85.5,0.18811033929862198,0.22657868170331186,0.16527281637202096,1.9163667068809065,0.173269942274738,1.4375,20.9825,0.1804720846640409,1,3,-1.3738831203741502,0.003913157376546221,2
Belgium,6,45.68333333333334,85.16666666666667,0.20455156537977306,0.30084169059020216,0.15486058750153772,1.9378361253459115,0.14291761316413426,1.5316666666666665,15.296666666666667,0.19354703986119481,0,3,0.07140040037112001,0.5304020738707798,4
Bosnia and Herzegovina,4,40.1,79.75,0.17853687603528867,0.17644155374564124,0.20156455510057036,1.9221072933578902,0.1594957850641095,1.4849999999999999,13.4575,0.2193229399141488,1,3,-0.980063506855492,0.24703957881285354,2
Brazil,5,48.1,89.4,0.18294674506097364,0.2588854309623957,0.1317017137120868,1.8604709304608236,0.1576655666428481,1.6260000000000001,19.27,0.23625335968561534,0,3,0.9861432182247339,-1.3474757394193284,3
Cabo Verde,4,35.225,80.25,0.2111388364588186,0.17641315125648338,0.17364452275871156,2.135604715048835,0.14026389272849235,1.4725000000000001,19.1075,0.18574018290170666,1,1,-2.8869948934141942,0.3264970007500466,2
Canada,5,46.36,81.2,0.21959412475731682,0.3951233571522287,0.1917704019281689,1.6739506322050168,0.2052034812328652,1.408,13.288,0.21870039007896908,0,2,1.6552502739866832,3.8260367343808075,3
Colombia,5,53.2,87.4,0.1760941717008199,0.23438185088972516,0.13444171934723925,1.981037182193134,0.18038813145786078,1.46,14.376,0.23086594576418787,0,3,1.3289659372193974,-0.654497671309131,3
Congo DR,4,37.275,80.75,0.20801740755098963,0.21627351415464421,0.19940155192833106,1.8344254631918244,0.14956971522416548,1.69,21.3,0.18289697040757733,1,1,-2.20214207333569,0.3639384733349399,2
Croatia,4,46.15,87.25,0.16686345230704497,0.18796289455664883,0.18807927836796545,1.907149975916357,0.1730224255232992,1.535,17.552500000000002,0.23257950997212834,0,3,-0.0237267024239296,-1.0747560532278058,2
Curaçao,3,32.199999999999996,78.33333333333333,0.21974076304159085,0.188823540448846,0.10645283915419339,1.9888135805026916,0.16462610537254632,1.5566666666666666,18.866666666666667,0.21425580470238467,1,1,-1.5672200707236803,0.4931971832351487,1
Czechia,3,37.1,78.66666666666667,0.20205004449465702,0.2106618884202819,0.21676154895332977,1.784351205582915,0.14092687751250424,1.6033333333333335,18.89,0.17898698690752354,1,1,-2.3035931094979243,0.7887468368898508,1
Côte d'Ivoire,4,44.9,87.5,0.21165348801065118,0.2587535446702195,0.15284560227974583,1.7926424551917983,0.17029856675047658,1.67,17.6775,0.2273633976037226,0,0,0.7575989173122453,0.2887660882299905,2
Ecuador,4,51.95,86.0,0.17906567179301505,0.2634498491080821,0.1686486055180303,1.7294209303891588,0.23042084642812155,1.5375,13.4175,0.20650833277608127,0,2,1.744085302968204,0.972838392676727,2
Egypt,5,45.9,86.2,0.184276766625101,0.2265066956528572,0.14001465226728116,1.8122167561848213,0.18172913624033987,1.53,16.56,0.22386621817500457,0,3,0.7365377128227653,-0.2793052876722856,3
England,6,51.916666666666664,88.66666666666667,0.19475231978993732,0.2785593633999624,0.16647730783874914,1.7171049929497986,0.20216570333219772,1.6833333333333333,14.801666666666668,0.22376697323509157,0,0,2.0013536990526823,0.47724703788627737,5
France,6,52.71666666666667,90.33333333333333,0.19906587598149686,0.33651721153693764,0.08779240486487794,1.9210913724751062,0.17396158517580218,1.6566666666666665,14.641666666666666,0.2549789518687145,0,0,3.0237626986635964,-0.5081551295214275,5
Germany,4,56.0,89.5,0.19602676336895508,0.34582114003900066,0.10828504174314942,1.6052189115306128,0.20406676633016968,1.6824999999999999,12.3675,0.2535801107942367,0,0,4.203425624580732,0.5277805120192489,2
Ghana,4,34.325,82.0,0.17480487973914094,0.15872440220747744,0.21298628173628173,2.0543098934629365,0.15732183013619971,1.6099999999999999,22.435000000000002,0.1909479502188054,1,1,-3.124686629175159,-1.0517822486333874,2
Haiti,3,42.1,84.0,0.19625215863509574,0.21299680006191227,0.14895506792058516,1.9009583540010817,0.17917516752216797,1.5200000000000002,16.39,0.195463017800784,1,3,-0.4482986257028121,0.31028820770898935,1
IR Iran,3,36.63333333333333,77.0,0.1762177596489534,0.21487485018316063,0.1830802285931864,1.9143339196514049,0.17272212721071023,1.58,15.949999999999998,0.1990229690188248,1,1,-1.4384837293609098,0.2712576941687045,1
Iraq,3,36.56666666666667,79.66666666666667,0.1882447429986381,0.15117432014770615,0.14898373983739838,2.049435713909398,0.18299925865715339,1.7,20.416666666666668,0.1953644976900791,1,1,-2.132760485895429,-0.8546313100592999,1
Japan,4,41.875,86.0,0.184444193558636,0.2481147086794621,0.1490892263338084,1.8053218378842013,0.17978662271926527,1.6575,20.15,0.1842220142011381,1,3,-0.4388730149219175,-0.5167695111116305,2
Jordan,3,29.46666666666667,76.0,0.2220341659488946,0.21644989951191504,0.15174443043295502,1.8114741372943033,0.14881003922547562,1.6666666666666667,22.736666666666665,0.2141370110104844,1,1,-2.296259595520857,0.7605987557299095,1
Mexico,5,48.18,86.6,0.20004077280313334,0.26134905279076825,0.13743663955000976,1.8933970285767576,0.17132614862267478,1.584,14.774000000000001,0.20857965598386374,0,3,0.870205718380477,0.1534257635176585,3
Morocco,6,53.13333333333333,88.0,0.1495376530832196,0.19513869613041554,0.14112903784797268,1.7361903099079627,0.21945317651603477,1.6483333333333334,13.745,0.20994678225422536,0,0,1.8071951091027505,-1.3542564719651373,4
Netherlands,4,49.699999999999996,87.25,0.17755860535391105,0.2582131403314925,0.1515627094878208,1.96884068092077,0.15746849130179946,1.5525,16.4175,0.2232396772107837,0,3,0.6492216441381224,-0.9259970535928022,2
New Zealand,3,41.73333333333333,83.0,0.19179698188708486,0.19544010993667746,0.1457001332001332,1.7718315219689602,0.1669984806485146,1.7766666666666666,15.979999999999999,0.1712457024048627,1,1,-0.6174605856952432,-0.5416958564710608,1
Norway,6,48.900000000000006,87.16666666666667,0.18854489162613683,0.23387457300230274,0.12134280838625182,1.9791670998960658,0.16337377336694936,1.595,16.561666666666667,0.21573340438765054,0,3,0.5909459475513041,-0.995690737397305,4
Panama,3,41.93333333333334,80.66666666666667,0.22503610067669624,0.20676314302658183,0.22363145837101348,1.9041704356260218,0.2394724613650215,1.6600000000000001,15.479999999999999,0.1881166881166881,1,1,-0.8836858095882,2.727191797399391,1
Paraguay,5,27.26,66.2,0.18700067795513764,0.171378327153273,0.21235517871562754,1.9126987287324853,0.19838039969565008,1.518,17.758000000000003,0.16627191239260913,1,1,-3.877999772981544,2.012856771621577,3
Portugal,5,52.67999999999999,89.4,0.19704967106094212,0.25390604104870895,0.12578251886630318,1.6270934857490158,0.13438770284317403,1.6300000000000001,16.25,0.21613283545527376,0,0,1.5993222896179298,-0.831833576459473,3
Qatar,3,30.633333333333336,74.33333333333333,0.17872760035318183,0.13794095008367802,0.1894764982466072,2.027409692034301,0.1466476548593337,1.5,20.16,0.18253602556519907,1,1,-3.7822105171986387,-0.3171637979237239,1
Saudi Arabia,3,33.0,77.66666666666667,0.17603946857358269,0.1840046061576207,0.09660261765524925,1.7625854123369395,0.14173862729523948,1.5066666666666666,17.726666666666667,0.18680171334827292,1,3,-1.4476651381971206,-0.8672773679540076,1
Scotland,3,40.86666666666667,86.66666666666667,0.19871324510192104,0.18198711630427764,0.20887445887445888,2.216488157973863,0.1430217027323857,1.6933333333333334,23.436666666666667,0.19628850482643548,1,1,-2.7289299480845584,-1.2672491752951787,1
Senegal,4,49.35,88.0,0.1969815155263398,0.3006986365187603,0.13452551707040658,1.7870717497975188,0.15923362009288333,1.6724999999999999,17.0025,0.2231802232546282,0,0,1.4318541937392357,-0.34184866076233245,2
South Africa,4,45.625,84.5,0.18157357350478256,0.14407213542859762,0.14115378855944893,1.8249443300109611,0.15821485550496445,1.5025,18.2675,0.23089661269009096,0,3,-0.25892798923799104,-1.15286747210962,2
South Korea,3,56.166666666666664,89.0,0.15166387291224512,0.21090853418410316,0.1465980816569052,1.9829805159217198,0.15194838944925784,1.58,14.88,0.23404593042890917,0,3,1.247915550508159,-2.454349831746477,1
Spain,6,59.56666666666667,91.0,0.21885714888374766,0.32158087092205534,0.118362575521618,1.609063870555876,0.14925774439101683,1.6316666666666666,11.571666666666667,0.2023934112150608,0,0,3.071839770185395,0.6241899464723382,5
Sweden,4,43.325,82.0,0.19946975214326562,0.27517420485502375,0.14166884096536886,2.1236066454751947,0.17865613791507579,1.52,18.235,0.21395447192209238,1,3,-0.5060399391117066,0.39105837555212286,2
Switzerland,6,48.550000000000004,86.33333333333333,0.1998581757982263,0.24386917244051845,0.15623712742280196,1.7778441634362927,0.1834287465621358,1.6533333333333333,14.108333333333334,0.1981817280592899,0,0,0.9030941056976808,0.41812501777579847,4
Tunisia,3,35.53333333333333,80.0,0.19032715975710757,0.1923590692257894,0.18637966971300304,2.024037590628835,0.16646905272613605,1.5833333333333333,23.043333333333333,0.16133053937931985,1,1,-3.2319272735981905,-0.19510712728111054,1
Türkiye,3,57.70000000000001,86.0,0.2018458902115412,0.397809859721217,0.10843306191386869,1.8922908970993797,0.2648321157659682,1.5666666666666667,9.983333333333333,0.2674876293297346,0,2,4.676690643321277,2.2282105144384428,1
USA,5,51.739999999999995,86.4,0.19956421942822236,0.24497991460564092,0.14705116154879533,1.8305254711005527,0.20608261069787198,1.504,13.163999999999998,0.20607573769176013,0,2,1.3907915562426478,0.9867075137405303,3
Uruguay,3,50.53333333333333,85.33333333333333,0.20211933114038827,0.33950073132948394,0.17607317816595805,1.7404705226361277,0.17592369885363515,1.4866666666666666,13.4,0.24851585161804138,0,2,2.1478062387653374,1.6158498622928725,1
Uzbekistan,3,34.96666666666667,78.33333333333333,0.20092574864299426,0.20375606684257394,0.15517526455026454,1.7868760793862009,0.14927590028804602,1.6266666666666667,16.669999999999998,0.21933607087113452,1,1,-0.9917420698308729,0.3212761769140331,1
