team,match_number,lb_attempted,lb_completed,through,around,over,via_pass,via_cross,via_carry,cluster,max_stage,through_share,around_share,over_share,via_pass_share,via_cross_share,via_carry_share,lb_success
Algeria,54.25,138.25,104.25,38.75,60.0,39.5,130.0,1.0,7.25,0,2,0.28028933092224234,0.43399638336347196,0.2857142857142857,0.9403254972875226,0.007233273056057866,0.05244122965641953,0.7540687160940326
Argentina,68.83333333333333,146.16666666666666,116.33333333333333,43.5,66.0,36.666666666666664,138.33333333333334,2.3333333333333335,5.5,0,5,0.2976054732041049,0.451539338654504,0.2508551881413911,0.9464082098061575,0.01596351197263398,0.03762827822120867,0.7958950969213228
Australia,46.5,129.0,82.0,33.0,42.0,54.0,118.0,3.5,7.5,1,2,0.2558139534883721,0.32558139534883723,0.4186046511627907,0.9147286821705426,0.027131782945736434,0.05813953488372093,0.6356589147286822
Austria,54.0,121.0,86.0,28.75,46.5,45.75,113.25,3.5,4.25,3,2,0.23760330578512398,0.384297520661157,0.378099173553719,0.9359504132231405,0.028925619834710745,0.03512396694214876,0.7107438016528925
Belgium,65.5,145.33333333333334,102.0,32.666666666666664,56.666666666666664,56.0,132.5,4.5,8.333333333333334,3,4,0.22477064220183482,0.3899082568807339,0.38532110091743116,0.9116972477064219,0.030963302752293576,0.05733944954128441,0.701834862385321
Bosnia and Herzegovina,40.5,113.75,70.25,22.25,38.0,53.5,102.25,4.75,6.75,3,2,0.1956043956043956,0.33406593406593404,0.4703296703296703,0.8989010989010989,0.041758241758241756,0.05934065934065934,0.6175824175824176
Brazil,50.4,131.6,98.6,32.0,61.0,38.6,118.4,4.8,8.4,3,3,0.24316109422492402,0.4635258358662614,0.2933130699088146,0.899696048632219,0.0364741641337386,0.06382978723404256,0.7492401215805471
Cabo Verde,50.5,124.0,83.0,32.25,46.25,45.5,116.75,1.0,6.25,1,2,0.2600806451612903,0.37298387096774194,0.36693548387096775,0.9415322580645161,0.008064516129032258,0.05040322580645161,0.6693548387096774
Canada,48.8,132.6,92.2,26.2,56.0,50.4,119.2,6.4,7.0,2,3,0.1975867269984917,0.42232277526395173,0.38009049773755654,0.8989441930618401,0.048265460030165915,0.05279034690799397,0.6953242835595778
Colombia,65.2,133.6,98.2,34.4,44.8,54.4,124.8,3.0,5.8,3,3,0.25748502994011974,0.33532934131736525,0.40718562874251496,0.9341317365269461,0.02245508982035928,0.04341317365269461,0.7350299401197605
Congo DR,55.75,121.0,77.0,25.5,45.25,50.25,107.75,4.0,9.25,1,2,0.21074380165289255,0.3739669421487603,0.4152892561983471,0.890495867768595,0.03305785123966942,0.07644628099173553,0.6363636363636364
Croatia,54.75,115.5,78.5,22.75,42.25,50.5,104.75,3.5,7.25,3,2,0.19696969696969696,0.3658008658008658,0.43722943722943725,0.9069264069264069,0.030303030303030304,0.06277056277056277,0.6796536796536796
Curaçao,33.0,110.33333333333333,69.66666666666667,26.0,33.666666666666664,50.666666666666664,101.33333333333333,2.6666666666666665,6.333333333333333,1,1,0.23564954682779457,0.30513595166163143,0.459214501510574,0.918429003021148,0.02416918429003021,0.05740181268882175,0.6314199395770393
Czechia,26.666666666666668,120.0,74.33333333333333,29.333333333333332,32.333333333333336,58.333333333333336,109.66666666666667,4.333333333333333,6.0,1,1,0.24444444444444444,0.2694444444444445,0.4861111111111111,0.913888888888889,0.03611111111111111,0.05,0.6194444444444444
Côte d'Ivoire,43.75,139.0,102.75,33.5,60.75,44.75,125.0,4.25,9.75,0,2,0.24100719424460432,0.4370503597122302,0.32194244604316546,0.8992805755395683,0.030575539568345324,0.07014388489208633,0.7392086330935251
Ecuador,44.5,132.5,90.25,27.75,55.0,49.75,117.0,5.75,9.75,2,2,0.20943396226415095,0.41509433962264153,0.3754716981132076,0.8830188679245283,0.04339622641509434,0.07358490566037736,0.6811320754716981
Egypt,60.4,139.4,95.6,29.6,51.8,58.0,126.6,4.0,8.8,3,3,0.21233859397417504,0.3715925394548063,0.41606886657101866,0.9081779053084648,0.028694404591104734,0.06312769010043041,0.685796269727403
England,67.5,133.16666666666666,100.16666666666667,31.333333333333332,54.833333333333336,47.0,116.83333333333333,6.833333333333333,9.5,0,5,0.23529411764705882,0.411764705882353,0.35294117647058826,0.8773466833541927,0.05131414267834793,0.07133917396745933,0.7521902377972467
France,63.833333333333336,139.5,111.5,37.166666666666664,71.66666666666667,30.666666666666668,127.66666666666667,2.5,9.333333333333334,0,5,0.26642771804062126,0.5137395459976105,0.21983273596176822,0.9151732377538829,0.017921146953405017,0.06690561529271206,0.7992831541218638
Germany,43.25,168.25,133.25,45.25,81.75,41.25,154.25,5.75,8.25,0,2,0.2689450222882615,0.48588410104011887,0.2451708766716196,0.9167904903417533,0.03417533432392273,0.04903417533432392,0.7919762258543833
Ghana,55.25,92.75,58.25,21.75,28.5,42.5,81.5,2.5,8.75,1,2,0.23450134770889489,0.30727762803234504,0.4582210242587601,0.8787061994609164,0.026954177897574125,0.09433962264150944,0.628032345013477
Haiti,28.0,107.33333333333333,72.33333333333333,24.0,40.666666666666664,42.666666666666664,95.33333333333333,3.3333333333333335,8.666666666666666,3,1,0.2236024844720497,0.37888198757763975,0.39751552795031053,0.8881987577639752,0.031055900621118016,0.08074534161490683,0.6739130434782609
IR Iran,39.0,111.33333333333333,62.666666666666664,18.0,28.666666666666668,64.66666666666667,103.33333333333333,2.6666666666666665,5.333333333333333,1,1,0.16167664670658682,0.2574850299401198,0.5808383233532934,0.9281437125748503,0.02395209580838323,0.04790419161676646,0.562874251497006
Iraq,40.666666666666664,114.0,70.33333333333333,31.333333333333332,29.333333333333332,53.333333333333336,106.33333333333333,1.6666666666666667,6.0,1,1,0.27485380116959063,0.2573099415204678,0.46783625730994155,0.9327485380116959,0.014619883040935673,0.05263157894736842,0.6169590643274854
Japan,45.0,112.75,77.0,26.5,46.25,40.0,105.5,3.25,4.0,3,2,0.23503325942350334,0.41019955654101997,0.35476718403547675,0.9356984478935698,0.028824833702882482,0.03547671840354767,0.6829268292682927
Jordan,44.666666666666664,111.0,66.66666666666667,24.0,33.0,54.0,102.0,3.0,6.0,1,1,0.21621621621621623,0.2972972972972973,0.4864864864864865,0.918918918918919,0.02702702702702703,0.05405405405405406,0.6006006006006006
Mexico,50.6,119.8,86.2,30.4,39.4,50.0,108.6,4.6,6.6,3,3,0.25375626043405675,0.328881469115192,0.41736227045075125,0.9065108514190316,0.038397328881469114,0.05509181969949916,0.7195325542570952
Morocco,58.166666666666664,126.83333333333333,88.33333333333333,32.166666666666664,56.833333333333336,37.833333333333336,116.5,2.6666666666666665,7.666666666666667,0,4,0.2536136662286465,0.44809461235216824,0.2982917214191853,0.9185282522996058,0.02102496714848883,0.060446780551905395,0.6964520367936925
Netherlands,44.75,127.5,90.25,28.0,57.0,42.5,117.5,4.0,6.0,3,2,0.2196078431372549,0.4470588235294118,0.3333333333333333,0.9215686274509803,0.03137254901960784,0.047058823529411764,0.707843137254902
New Zealand,39.666666666666664,125.0,85.33333333333333,34.0,39.333333333333336,51.666666666666664,116.66666666666667,4.333333333333333,4.0,1,1,0.272,0.3146666666666667,0.41333333333333333,0.9333333333333333,0.034666666666666665,0.032,0.6826666666666666
Norway,64.66666666666667,134.0,97.83333333333333,27.833333333333332,55.833333333333336,50.333333333333336,123.16666666666667,2.3333333333333335,8.5,3,4,0.20771144278606965,0.4166666666666667,0.3756218905472637,0.9191542288557214,0.017412935323383085,0.06343283582089553,0.7300995024875622
Panama,44.666666666666664,136.33333333333334,89.66666666666667,29.666666666666668,46.0,60.666666666666664,125.66666666666667,5.666666666666667,5.0,1,1,0.2176039119804401,0.3374083129584352,0.44498777506112464,0.921760391198044,0.04156479217603912,0.036674816625916866,0.6577017114914425
Paraguay,51.6,100.2,47.0,14.6,19.4,66.2,95.0,2.2,3.0,1,3,0.14570858283433133,0.19361277445109779,0.6606786427145709,0.9481037924151696,0.021956087824351298,0.029940119760479042,0.46906187624750495
Portugal,63.4,146.6,114.4,31.6,74.8,40.2,132.2,5.2,9.2,0,3,0.21555252387448842,0.5102319236016372,0.27421555252387453,0.9017735334242837,0.03547066848567531,0.06275579809004092,0.7803547066848568
Qatar,29.0,103.66666666666667,57.0,22.0,27.666666666666668,54.0,96.33333333333333,2.6666666666666665,4.666666666666667,1,1,0.21221864951768488,0.26688102893890675,0.5209003215434084,0.9292604501607716,0.025723472668810286,0.04501607717041801,0.5498392282958199
Saudi Arabia,38.666666666666664,114.33333333333333,69.0,31.0,31.333333333333332,52.0,107.33333333333333,1.6666666666666667,5.333333333333333,3,1,0.27113702623906705,0.27405247813411077,0.4548104956268222,0.9387755102040817,0.01457725947521866,0.04664723032069971,0.6034985422740525
Scotland,28.0,125.66666666666667,90.66666666666667,25.666666666666668,50.666666666666664,49.333333333333336,113.33333333333333,5.666666666666667,6.666666666666667,1,1,0.20424403183023873,0.403183023872679,0.3925729442970822,0.9018567639257293,0.04509283819628647,0.05305039787798409,0.7214854111405835
Senegal,50.5,149.75,111.0,33.5,61.0,55.25,136.0,3.75,10.0,0,2,0.22370617696160267,0.4073455759599332,0.36894824707846413,0.9081803005008348,0.025041736227045076,0.0667779632721202,0.7412353923205343
South Africa,38.25,128.5,84.25,34.75,39.75,54.0,121.75,3.25,3.5,3,2,0.2704280155642023,0.3093385214007782,0.42023346303501946,0.9474708171206225,0.02529182879377432,0.027237354085603113,0.6556420233463035
South Korea,28.0,130.33333333333334,93.66666666666667,29.0,46.666666666666664,54.666666666666664,121.0,4.666666666666667,4.666666666666667,3,1,0.22250639386189255,0.3580562659846547,0.41943734015345263,0.9283887468030689,0.03580562659846547,0.03580562659846547,0.7186700767263426
Spain,65.5,178.33333333333334,146.83333333333334,55.0,82.33333333333333,41.0,161.5,5.5,11.333333333333334,0,5,0.308411214953271,0.46168224299065413,0.22990654205607475,0.905607476635514,0.0308411214953271,0.06355140186915888,0.8233644859813084
Sweden,45.25,123.75,78.5,33.0,40.25,50.5,115.0,3.5,5.25,3,2,0.26666666666666666,0.32525252525252524,0.4080808080808081,0.9292929292929293,0.028282828282828285,0.04242424242424243,0.6343434343434343
Switzerland,61.0,150.0,107.5,38.666666666666664,60.333333333333336,51.0,135.5,4.166666666666667,10.333333333333334,0,4,0.2577777777777778,0.40222222222222226,0.34,0.9033333333333333,0.02777777777777778,0.06888888888888889,0.7166666666666667
Tunisia,35.333333333333336,102.33333333333333,63.333333333333336,21.0,32.333333333333336,49.0,96.0,3.0,3.3333333333333335,1,1,0.20521172638436483,0.3159609120521173,0.47882736156351796,0.9381107491856678,0.02931596091205212,0.03257328990228013,0.6188925081433225
Türkiye,32.0,169.66666666666666,124.33333333333333,35.0,82.66666666666667,52.0,150.66666666666666,5.0,14.0,2,1,0.206286836935167,0.4872298624754421,0.306483300589391,0.888015717092338,0.029469548133595286,0.0825147347740668,0.7328094302554028
USA,54.0,143.6,104.6,38.4,57.6,47.6,130.6,3.6,9.4,2,3,0.26740947075208915,0.40111420612813375,0.3314763231197772,0.9094707520891365,0.02506963788300836,0.06545961002785516,0.7284122562674095
Uruguay,38.666666666666664,132.66666666666666,96.0,27.666666666666668,55.666666666666664,49.333333333333336,120.33333333333333,4.666666666666667,7.666666666666667,2,1,0.2085427135678392,0.41959798994974873,0.3718592964824121,0.907035175879397,0.03517587939698493,0.0577889447236181,0.7236180904522613
Uzbekistan,47.666666666666664,117.66666666666667,71.0,31.666666666666668,32.333333333333336,53.666666666666664,111.0,2.6666666666666665,4.0,1,1,0.26912181303116145,0.2747875354107649,0.4560906515580736,0.943342776203966,0.022662889518413595,0.03399433427762039,0.603399433427762
